3791983.0,52.0,4.0,0.0306796
4700968.0,59.0,3.0,0.807897
5089090.0,64.0,2.0,-0.0204531
5402144.0,65.0,3.0,0.204531
5873098.0,67.0,2.0,-0.0409062
5953863.0,67.0,3.0,0.429515
6787259.0,71.0,4.0,0.214757
11064297.0,86.0,4.0,0.194304
11699126.0,89.0,3.0,0.224984
12416660.0,91.0,4.0,0.685178
14038394.0,98.0,4.0,0.634045
19361634.0,115.0,4.0,0.0613592
22600571.0,128.0,4.0,-0.245437
22603190.0,128.0,4.0,0.429515
27837286.0,146.0,4.0,-0.102265
29679912.0,153.0,4.0,0.102265
46741778.0,203.0,4.0,0.194304
48151355.0,207.0,4.0,0.0920388
51095202.0,215.0,4.0,-0.327249
51436492.0,216.0,4.0,0.173851
51831271.0,217.0,4.0,-0.26589
53332751.0,222.0,4.0,1.28854
53777612.0,223.0,4.0,0.685178
55907728.0,229.0,3.0,0.317023
57215430.0,234.0,4.0,-0.112492
57513382.0,235.0,1.0,-0.132945
61127424.0,246.0,4.0,-0.184078
71109824.0,277.0,4.0,-0.112492
