lat,lon,EventNumber
-80.108,165.816,3368864
-80.0239,169.534,3368930
-80.1496,163.307,3369611
-80.0207,169.527,3369617
-80.3217,169.436,3369625
-80.0792,169.512,3370453
-80.2317,169.468,3370628
-80.05,165.837,3370632
-80.0812,169.51,3370656
-80.031,169.516,3370659
-80.0087,169.516,3370863
-80.0706,176.774,3370870
-80.2417,165.683,3370871
-80.1603,169.489,3370957
-80.0389,161.602,3370970
-80.0523,165.806,3373486
-80.1343,176.791,3373572
-80.0326,169.486,3373575
-80.0326,169.486,3373633
-80.0179,169.479,3374394
-80.0668,169.473,3374468
-80.0681,169.473,3374407
-80.2437,169.424,3374422
-80.0152,169.478,3374514
-80.0168,163.398,3374517
-80.1909,169.442,3374522
-80.216,169.434,3374526
-80.0139,169.477,3374562
-80.0641,169.472,3374566
-80.1895,169.442,3374567
-80.3149,169.389,3374571
-80.0449,176.712,3374623
-80.0641,169.472,3374627
-80.1882,169.442,3374643
-80.1882,169.442,3374647
-80.1882,169.442,3374654
-80.2133,169.433,3374663
-80.1869,169.441,3374757
-80.0099,169.475,3374778
-80.3536,178.905,3374783
-80.2607,169.412,3374793
-80.0601,169.47,3374818
-80.2106,169.433,3374820
-80.0321,165.805,3374823
-80.2106,169.433,3374827
-80.0099,169.475,3374833
-80.0587,169.469,3374899
-80.1842,169.441,3374900
-80.1828,169.44,3374916
-80.1828,169.44,3374931
-80.2079,169.432,3374957
-80.3628,176.908,3374972
-80.052,169.466,3375191
-80.0578,178.592,3376163
-80.2961,169.382,3376171
-80.0304,176.671,3377266
-80.3437,178.866,3377279
-80.1774,169.405,3378558
-80.0464,165.758,3378567
-80.1699,178.689,3378574
-80.308,178.821,3378578
-80.0464,165.758,3378582
-80.0067,178.505,3378842
-80.2335,169.382,3378845
-80.0705,176.685,3378878
-80.0837,169.424,3378883
-80.2342,169.381,3378888
-80.2091,169.391,3378891
-80.0335,169.431,3378911
-80.0837,169.424,3378919
-80.0087,178.506,3378923
-80.0087,178.506,3378931
-80.0248,160.101,3378939
-80.2099,169.39,3378943
-80.0091,169.432,3378946
-80.26,169.37,3378968
-80.2349,169.38,3378969
-80.2099,169.39,3378987
-80.1597,169.406,3378991
-80.3359,169.331,3379014
-80.2357,169.379,3379015
-80.0532,165.749,3379045
-80.2028,176.775,3379047
-80.1603,163.197,3379067
-80.1612,169.404,3379068
-80.2113,169.388,3379079
-80.0107,178.507,3379090
-80.0409,176.66,3379103
-80.0734,176.685,3379106
-80.0859,169.421,3379107
-80.0409,176.66,3379114
-80.0866,169.421,3379117
-80.0418,176.66,3379122
-80.0889,161.45,3379159
-80.0866,169.421,3379179
-80.3906,178.886,3379184
-80.3381,169.328,3379199
-80.3222,178.827,3379201
-80.3381,169.328,3379202
-80.2379,169.376,3379213
-80.3381,169.328,3379231
-80.0372,169.427,3379252
-80.2637,169.365,3379282
-80.3926,178.886,3379284
-80.0881,169.419,3379294
-80.2136,169.385,3379304
-80.1619,163.193,3379307
-80.0881,169.419,3379312
-80.0128,169.428,3379316
-80.1414,176.732,3379318
-80.119,165.702,3379322
-80.0557,165.745,3379324
-80.1885,169.394,3379327
-80.2136,169.385,3379331
